"site","cusion","code","sample","cushion.open","diam1","diam2","area","Azorella aretioides","Azorella pedunculata / corymbosa","Baccharis caespitosa","Bartsia stricta","Bromus lanatus","Carex tristicha","Castilleja nubigena","Cerastium floccosum","Cerastium imbricatum","Cerastium trianae Briq","Chuqiragua jussieui","Draba aretioides","Ephedra americana","Erigeron ecuadoriensis","Floscaldasia hypsophila","Gentiana sedifolia","Gentianella rupicola","Geranium ecuadoriensis","Geranium multipartitum","Halenia weddeliana","Huperzia crassa","Hypochaeris sessiliflora","Lachemilla hispidulata","Lachemilla orbiculata","Lasiocephalus ovatus","Lucilia kunthiana","Lupinus microphyllus","Luzula racemosa","Lysipomia acaulis","Myrosmodes sp","Nototriche hartwegii","Oreomyrrhis andicola","Oritrophium peruvianium","Ourisia muscoides","Pernettya prostata","Plantago nubigena","Plantago rigida","Ranunculus guzmanii","Ranunculus peruvianus","Senecio canescens","Senecio nivalis","Poaceae spp","Valeriana alypifolia","Valeriana aretioides","Valeriana rigida","Viola bangii","Werneria nubigena","Werneria pumila","Werneria pygmaea","Xenophyllum rigidum","Moss spp"
"Ecuador2","Azorella aretioides",3,46,"cushion",,,,,,,,,,,,,,,,,,,,,,0,,,7,,,,1,3,,,,1,,,,,,,,,,,25,,,,2,2,,,,
"Ecuador2","Azorella aretioides",3,47,"cushion",,,,,,,1,,11,,,,,,,,1,,2,,,18,,,15,,,,9,,,,,,1,,,,,,,,,,95,,,,3,17,,,,
"Ecuador2","Azorella aretioides",3,48,"cushion",,,,,,2,,2,,,,,3,,,,2,,3,,,24,,,10,,,,3,3,1,1,,,,,,,,2,1,,,,78,,,,5,7,,,,1
"Ecuador2","Azorella aretioides",3,49,"cushion",,,,,,,,,3,1,,,,,,,1,,1,,,17,,,8,6,,,,,,,,2,,,,,,,,,,,45,,,,,8,,,,
"Ecuador2","Azorella aretioides",3,50,"cushion",,,,,,1,2,4,,,,1,,,,,,,,,,17,,,11,,9,,,,,,1,,,,,,,,,,,,35,,,,,5,,,,
"Ecuador2","Azorella aretioides",3,51,"cushion",,,,,,2,,1,,,,,,,,,,,,,,13,,,7,,,,6,,,,,,,,,,1,,,,,,34,,,,3,2,,,,
"Ecuador2","Azorella aretioides",3,52,"cushion",,,,,,,,,,,,,,,,,2,,,,,21,,,6,,,,,,,,,,,,,,,,,,,,50,,,1,,10,,,,
"Ecuador2","Azorella aretioides",3,53,"cushion",,,,,,,,,8,,,,,,,,,,,,,7,,,10,,,,3,,,,,,,,,,,1,,,,,37,,,,,9,,,,
"Ecuador2","Azorella aretioides",3,54,"cushion",,,,,,2,2,,,1,,,3,,,,,,,,,14,,1,16,,,,4,,,,1,,,,,,,,,,,,62,,,,1,15,,,,1
"Ecuador2","Azorella aretioides",3,55,"cushion",,,,,,,,1,4,,,,,,,,,,,,,12,,,9,,,,5,2,1,,,,,,,,,,,,,,43,,,1,,7,,,,1
"Ecuador2","Azorella aretioides",3,56,"cushion",,,,,,3,1,,7,,,,,,,,1,,2,,,15,,1,14,,,,2,,,,1,,,,,,,,,,,,52,,,,,3,,,,
