"site","cushion","code","sample","cushion.open","diam1","diam2","area","Abrotonella","Acaena antarctica","Acaena diminuta","Acaena magellanica","Acaena pinnatifida","Adesmia lotoides","Adesmia parviflora","Adesmia pumila","Adesmia solicornioides","Astragalus nivicola","Azorella coespitosa","Azorella fuegiana","Azorella licopodioidea","Calceolaria uniflora","Cerastium sp","Colobantus lycopodioides","Colobanthus subulatus","Draba funiculosa","Draba magellanica","Elymus sp","Empetrum rubrum","Erigeron sp","Eudema","Festuca magellanica","Hamadryas sp","Hypochaeris incana","Leucheria candidissima","Luzula sp 1","Luzula sp 2","Nassauvia aculeata","Nassauvia revoluta","Oxalis enneaphylla","Oxalis patagonica","Perecia magellantha","Perezia pilifera","Pernettya mucronata","Pernettya pumila","Phleum sp","Plantago sp","Poa alopecurus","Poa fuegiana","Poa pratensis","Poa pusilla","Senecio magellanicus","Trisetum sp","Vicia bijuga"
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,23,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,24,"cushion",,,,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,1,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,30,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,1,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,31,"cushion",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,32,"cushion",,,,,,,,,1,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,1,,1,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,33,"cushion",,,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,34,"cushion",,,,,,1,,,1,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,1,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,35,"cushion",,,,,,,,,,,1,,,1,,,1,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,36,"cushion",,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,42,"cushion",,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,43,"cushion",,,,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,1,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,44,"cushion",,,,,,,,,,,,,1,,,,,,,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,45,"cushion",,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,1,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,46,"cushion",,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,47,"cushion",,,,,,,,,1,,,,1,,,,,,,,,,,1,,,1,,1,,,,,,,,,,,,,,,,,,,,1
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,48,"cushion",,,,,,,,,1,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,1,,,,,1,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,7,"open",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,8,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,9,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,10,"open",,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,19,"open",,,,,,,,,,,,1,,,1,,,,,,,,,,,1,,,,,1,,,,,,,1,,1,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,20,"open",,,,,,1,,,,,,,,1,,,,,,,,1,,,1,,,,,,,1,,,,,,,,,,,,,1,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,21,"open",,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,1,,1,,,,,1,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,22,"open",,,,,1,,,,,,,,1,,1,,,,,,,,,,1,1,,,,,,,,,1,,,1,,,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,31,"open",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,32,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,33,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,34,"open",,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,43,"open",,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,44,"open",,,,,,1,,1,,,,,,,,,,,,,1,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,45,"open",,,,,,,,,,,,,,1,,,,,1,,,,,,1,1,,,1,,,,,,,,,1,,,,1,,,1,,,1,
"Torres del Paine Bolax gummifera 700","Bolax gummifera",24,46,"open",,,,,,,,1,,,,,,1,1,,,,,,,,,,1,1,,,1,,,,,,,,,1,,1,,1,,,1,,,1,
