site,cushion sp,sample,cushion/open,diam1 (cm),diam2 (cm),Carex nardina,Arnica,Solidago,Festuca,Sibbaldia,Antennaria alpina,Carex Sp,Luzula,Koeleria,Poa alpina,Saxifraga bronchialis,Agrostis,Potentilla heptaphylla,Phyllodoce glandulosa,Phlox,Draba,Taraxacum,Luzula glabra,Lycopodium,Carex yellow,Penstemon,Festuca green,Doronicum,Achillea,Leutkea,Potentilla villosa,Caryophyllaceae,Erigeron,Antennaria long leaf,dataset code
"Whistler North","Silene_acaulis",51,"cushion",8,11,,5,,2,,,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",52,"cushion",17,9,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",53,"cushion",27,15,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",54,"cushion",31,22,,,,,,,4,,3,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",56,"cushion",20,16,,,1,,1,1,,,6,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",57,"cushion",12,11,,,,1,,,,3,2,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",58,"cushion",31,12,1,3,5,1,1,2,,,5,,,,,,2,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",59,"cushion",14,12,,1,2,2,,3,,,,,,,,,,1,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",62,"cushion",12,9,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",63,"cushion",11,9,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",64,"cushion",12,14,,1,,,,,,,2,,,,,,3,,1,,,4,,,,,,,,,,75
"Whistler North","Silene_acaulis",66,"cushion",16,9,1,1,1,1,,6,,,,,,,,,1,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",67,"cushion",23,11,,,3,1,1,,,,1,,,,,,1,,1,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",68,"cushion",14,8,1,3,,,1,,1,,,1,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",69,"cushion",16,15,,,5,1,,2,1,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",71,"cushion",9,8,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",72,"cushion",22,21,,13,4,2,,1,,,3,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",73,"cushion",13,9,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",74,"cushion",8,6,1,,5,1,,,,,,,,,,,,1,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",77,"cushion",12,12,,,1,1,2,,,3,,1,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",78,"cushion",11,9,,3,2,,,,,,,2,,,,,,,,,,,,,,,,,1,,,75
"Whistler North","Silene_acaulis",79,"cushion",16,19,,,4,2,4,,3,,,2,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",81,"cushion",29,22,3,1,5,,,,,,3,4,,,,,,,,,,,,,,,,,,2,,75
"Whistler North","Silene_acaulis",82,"cushion",25,24,5,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",83,"cushion",28,22,,3,,,,,,,,,,,,,1,,1,,,,,,,,,,,,3,75
"Whistler North","Silene_acaulis",84,"cushion",32,15,,,,2,,,3,2,1,,,,,,3,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",86,"cushion",25,27,,1,12,1,,,6,1,,2,,,,,,,,,,,,,,,,,,,4,75
"Whistler North","Silene_acaulis",87,"cushion",14,12,,2,1,1,,3,,2,,,,,,,,,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",88,"cushion",29,19,,3,1,5,5,2,,,,,,,,,,,,,,,,,,,,,,,1,75
"Whistler North","Silene_acaulis",93,"cushion",29,20,,10,,2,,,5,,,,,,,,,2,,,,,,,,,,,,,,75
"Whistler North","Silene_acaulis",94,"cushion",12,8,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,75
