Site,site name,cushion spp (Genus_species),Hemisphere,Gams winter,TMAX JUNE,TMIN Jan,P/TSUMMER,June Soil Temp,EVAP SUMMER,NDVI SUMMER,RH SUMMER,SOIL WETNESS SUMMER,siten,sitespecies,sitehabscoremean,scorese,nmdsmeaneffectsize,nmdscveffectsize,diveffectsize,divalleffectsize,opendivmean,alldivmean,denseffectsize,densalleffectsize,opendensmean,alldensmean
39,"San Francisco Mt.","Geum_rossii","N",83.4018915113689,32.0866667,-16.92,1.44675902434013,10.4055556,24.36411852,0.597625926,36.4296666666667,188.906296333333,80,9,0.73473245,0.02257772,5.40606207,4.63893579,84.55612217,103.94091887,0.3885,2.329375,55.7924589,60.33905445,1.209,7.039
41,"Mt. Hutt","Raoulia_sp","S",57.1990943214071,22.2566667,-3.576667,12.4968145591131,8.46666670000002,97.4387407266667,0.557851852,79.6301851866667,514.349999966667,90,35,0.41165079,0.07410496,3.2252436,-4.340445,70.65628991,89.08876125,2.74922222,7.04277778,63.05420685,75.02139896,6.90266667,41.94266667
42,"Old Man Range","Dracophyllum_sp","S",59.9360330461269,16.9933333,-10.257778,15.7797850355015,2.20555560000003,70.26288889,0.466929629666667,84.8130370366667,565.557037033333,65,20,0.41170171,0.07679789,1.11813048,1.02279504,53.9114206,103.8270691,2.75015385,5.70338462,11.84358468,63.88188144,8.25553846,17.87338462
43,"Mt. Burns","Phyllacne_colensoi","S",45.1019267515022,17.0266667,-3.64,28.2903419306564,8.03222220000004,81.64037037,0.747925925666667,86.4468148166667,578.376666666667,79,36,0.38106682,0.07116825,0.10691688,1.22935893,67.42802964,120.83569697,5.33075949,11.17405063,55.24062733,86.51988642,16.56696203,51.18253165
44,"Lebanon","Onobrychis_cornuta","N",49.2151971350705,29.7611111000001,-4.483333,0.364261474624863,13.4055556,32.7091740733333,0.266318518666667,58.731,492.574074066667,60,20,0.26295853,0.08518617,3.2058386,1.64087778,13.60216622,53.40471737,2.8815,4.43966667,42.85533048,52.01718084,15.825,51.19216667
45,"Lebanon","Astragulus_zachlensis","N",49.2151971350705,29.7611111000001,-4.483333,0.364261474624863,13.4055556,32.7091740733333,0.266318518666667,58.731,492.574074066667,60,26,0.10565358,0.08571198,3.61283949,-7.009204,17.2714937,68.72538051,4.53583333,7.37533333,70.17396817,92.13452063,27.16366667,110.575
46,"Iran","Astragulus_macrosemius","N",76.1118294552106,29.9555556,-21.754444,0.650964957794189,10.3177778,23.07798148,0.194596296,34.73485185,320.5462963,80,25,0.34290137,0.05316527,0.82045162,-1.116991,61.16826666,89.85037527,2.316875,5.218,21.23085948,36.27352438,9.8655,26.107875
47,"Slovakia Silene acaulis","Silene_acaulis","N",68.46465129967,22.0211111,-20.662222,21.7576317297467,3.94777780000004,116.141518533333,0.634922222333333,78.8426666666667,572.663333333333,90,61,-0.282451,0.07180907,4.04332189,-1.168278,-43.31853,61.70990881,10.52333333,13.69433333,-38.736837,37.67029905,143.41711111,223.53777778
49,"Qilian Shan","Arenaria_kansuensis Maxim.","N",88.4213244890645,20.0944444,-25.336667,3.88055654627254,-1.708889,22.4494666666667,0.0415925926666667,42.90348148,358.523333333333,80,14,-0.010323,0.05406851,0.47092116,0.50553247,-7.86435,44.58216107,2.97575,4.160375,9.64283153,40.17487984,36.052875,79.973125
50,"Ny-Ålesund","Silene_acaulis","N",68.4687522641256,5.59222220000004,-24.237778,12.2008788209601,-4.278889,33.8062962933333,0.517955555333333,90.3478148133333,842.314444433333,148,4,-0.104662,0.03038902,1.50016201,-0.982229,-21.434167,-11.690871,1.75837838,1.60006757,-4.344129,-1.534432,6.57445946,6.4422973
52,"Val Bercla","Silene_acaulis","N",65.2326188224927,17.76,-24.243333,24.5671430545227,0.358888900000011,71.3483333366667,0.408607407333333,83.7270740733333,614.858518533333,75,36,0.75837268,0.04531213,2.63869018,-1.314986,147.02073822,161.74965977,4.138,11.29066667,105.6978367,114.08169533,10.20066667,53.07533333
