"site","cushion","code","sample","cushion.open","diam1","diam2","area","Arenaria obtusifolia","Artemisia scopulorum","Carex phaeocephala","Castilleja pallescens","Cerastium beeringianum","Cetraria aculeata","Cetraria islandica","cf Dactylina madreporiformis","Douglasia montana","Draba paysonii","Draba praealta","Erigeron rydbergii","Eritrichium nanum","Festuca ovina","Geum rossii","Luzula spicata","Myosotis sylvatica","Phlox pulvinata","Polygonum bistortioides","Potentilla concinna","Potentilla diversifolia","Sedum lanceolatum","Selaginella densa","Silene acaulis","Smelowskia calicina","Trifolium nanum"
"Beartooth","Trifolium nanum",32,17,"cushion",,,,3,,1,,,,,1,,,,,,2,28,,,,,,,,,,14,
"Beartooth","Trifolium nanum",32,21,"cushion",,,,2,7,6,,,,,,,,,,,,12,,,2,1,,,,,,5,
"Beartooth","Trifolium nanum",32,5,"open",,,,3,,,,,,,,,,,,,1,16,3,,1,,,,,3,,,
"Beartooth","Trifolium nanum",32,6,"open",,,,5,,3,,,3,,3,,,,,,,10,1,,,5,,1,,,,,
"Beartooth","Trifolium nanum",32,7,"open",,,,,,8,,,,,2,,,,,,1,15,1,,,,,,,,,6,
"Beartooth","Trifolium nanum",32,8,"open",,,,,9,2,,,,,,,,,,,3,12,,,,2,,,,,,,
"Beartooth","Trifolium nanum",32,9,"open",,,,1,8,,,,,,3,,,,,,4,20,,,1,,,,4,,,,
"Beartooth","Trifolium nanum",32,11,"open",,,,1,,,,,,,,,,,,,,18,,,,,,,,1,,,
"Beartooth","Trifolium nanum",32,12,"open",,,,2,1,,,,,,,,,,,,,15,,,,,,,,,,,
"Beartooth","Trifolium nanum",32,13,"open",,,,,,4,,,,,,,,,,,,11,,,,,,,,,,,
"Beartooth","Trifolium nanum",32,14,"open",,,,2,2,,,,,,,,,,6,,,12,,,,,,,,,,,
"Beartooth","Trifolium nanum",32,2,"cushion",,,,,21,17,,,,,,1,,,,1,7,7,3,,1,5,,,,2,,,
"Beartooth","Trifolium nanum",32,25,"cushion",,,,,10,6,,,2,,,,,,,1,,4,,,1,1,,3,,,,,
"Beartooth","Trifolium nanum",32,28,"cushion",,,,1,10,19,,,,,,,,,7,1,6,11,,3,1,,,,,,,10,
"Beartooth","Trifolium nanum",32,10,"cushion",,,,1,6,,,,,,,,,,,2,11,2,2,,3,,,,,,,,
"Beartooth","Trifolium nanum",32,16,"cushion",,,,1,,10,,,,,1,,,,8,2,7,4,,,5,,,,,,1,,
"Beartooth","Trifolium nanum",32,18,"cushion",,,,,,9,,,,,,,,,,2,,12,,,1,,,,,2,1,5,
"Beartooth","Trifolium nanum",32,20,"cushion",,,,,,4,,,,,,,,,,2,,11,,,,4,1,5,,2,,15,
"Beartooth","Trifolium nanum",32,10,"open",,,,,2,,,,,,,,,,3,2,,5,6,,,,,,,,,,
"Beartooth","Trifolium nanum",32,11,"cushion",,,,1,,,,,,,,,,,,3,6,7,3,,1,,,,,,,8,
"Beartooth","Trifolium nanum",32,15,"cushion",,,,,,4,,,,,,,,,6,3,,10,,,1,,,,,,,3,
"Beartooth","Trifolium nanum",32,19,"cushion",,,,,,11,,,,,1,,,,,3,,13,,,2,,,,,,1,6,
"Beartooth","Trifolium nanum",32,22,"cushion",,,,4,17,4,,,,,1,,,,1,3,,15,,,3,1,,,,,,9,
"Beartooth","Trifolium nanum",32,26,"cushion",,,,2,,19,,1,,,,,,,7,4,,11,,5,,,,,,1,,7,
