Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Anthyllis vulneraria ssp pseudoarundana,Arenaria tetraquetra ssp amabilis,Biscutella glacialis,Dactylis glomerata ssp juncinella,Dianthus brachyanthus,Draba hispanica ssp laderoi,Erigeron frigidus,Euphorbia nevadensis ssp nevadensis,Euphrasia willkommii,Festuca clementei,Festuca indigesta,Galium pyrenaicum,Jasione amethystina,Leontodon boryi,Leucanthemopsis pectinata,Linaria aeruginea ssp nevadensis,Lotus corniculatus ssp glacialis,Nevadensia purpurea,Pilosella sp,Poa ligulata,Rumex angiocarpus,Sedum amplexicaule ssp amplexicaule,Senecio boissieri,Sideritis glacialis,Silene boryi,Thymus serpylloides ssp serpylloides,Trisetum glaciale
81,"Sierra Nevada3","Plantago_holosteum",57,"cushion",12,10,,1,,,,,,,,,,,,,,,,,,2,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",58,"cushion",15,14,,1,,,,,,,,,,,,,,,,,,1,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",59,"cushion",17,15,,,,,,,8,,,,,,,,,,,,,,,21,,,,,
81,"Sierra Nevada3","Plantago_holosteum",60,"cushion",20,18,,,,,,,,,,,,6,1,,,,,,,3,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",61,"cushion",12,13,1,1,,,,,,,,5,,,2,,,,6,1,,,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",62,"cushion",16,10,,1,,,,,,,,,,,,,,,7,,,,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",63,"cushion",33,27,,3,,,,,,1,,7,,,1,,,,52,1,,3,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",64,"cushion",13,13,,,,,,,,,,,,,2,,,,,,,2,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",65,"cushion",26,15,1,,,,,,,,,1,,1,3,,,,6,,,4,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",66,"cushion",13,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,"Sierra Nevada3","Plantago_holosteum",67,"cushion",22,10,,,,,,,,,,,,,,,,,,,,2,,,,,,,
