site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Achillea millefolium alpicola,Agoseris aurantiaca,Anemone occidentalia,Anenome drummondii,Antennaria alpina,Arabis nuttalii,Artemisia michauxiana,Astragalus alpinus,Bupleurum americanum,Carex geyeri,Cerastium arvense,Cirsium scariosum,Claytonia megarhiza,Cryptantha celosiodes,Danthonia intermedia,Epilobium angustifolium,Erigeron compositus,Eriogonum flavum,Eriophylum lantanum,Geum triflorum,Linum lewisii,Lomatium sandbergii,Mertensia longiflora,Minuartia obtusiloba,Oxyria digyna,Pedicularis bracteosa,Pedicularis parryi,Penstemon fruticosa,Phacelia lyallii,Phacelia sericea,Plantago eriopoda,Poa alpina,Polygonum viviparum,Potentilla diversifolia,Saxifraga occidentalis,Sedum lanceolatum,Sedum roseum,Senecio canus,Silene douglasii,Tiarella trifoliata,Tofieldia accidentalis,UNKNOWN1,UNKNOWN2,UNKNOWN3,UNKNOWN4,UNKNOWN5,UNKNOWN6,dataset code
"Two Medicine Glacier","Sibbaldia",58,"cushion",94,51,3,1,,,,,,,3,,6,,4,,,,3,,,,,,,,,,,,,,,30,,,3,,,1,,,1,,,3,,,,65
"Two Medicine Glacier","Sibbaldia",61,"cushion",64,38,,2,,,,,,1,,,,,,,3,,4,,1,,,,,,1,1,,,,,,2,,,,,,2,,,,,,,,,1,65
"Two Medicine Glacier","Sibbaldia",63,"cushion",44,34,5,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,65
"Two Medicine Glacier","Sibbaldia",65,"cushion",82,60,8,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",67,"cushion",38,26,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",69,"cushion",66,72,,,,,,,,,,5,,,,,7,,,,,,,,,,,,,,,,,2,,1,,,,2,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",71,"cushion",22,25,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",73,"cushion",58,36,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",75,"cushion",60,48,6,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",78,"cushion",42,30,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",97,"cushion",60,32,,1,,,,,,,,3,1,,,,22,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",99,"cushion",57,30,,,,,,,,,,6,,,,,9,,,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",101,"cushion",40,36,,,,,,,,,,1,,,,,2,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",103,"cushion",45,20,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",1,"open",40,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
