site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Achillea millefolium alpicola,Agoseris aurantiaca,Anemone occidentalia,Anenome drummondii,Antennaria alpina,Arabis nuttalii,Artemisia michauxiana,Astragalus alpinus,Bupleurum americanum,Carex geyeri,Cerastium arvense,Cirsium scariosum,Claytonia megarhiza,Cryptantha celosiodes,Danthonia intermedia,Epilobium angustifolium,Erigeron compositus,Eriogonum flavum,Eriophylum lantanum,Geum triflorum,Linum lewisii,Lomatium sandbergii,Mertensia longiflora,Minuartia obtusiloba,Oxyria digyna,Pedicularis bracteosa,Pedicularis parryi,Penstemon fruticosa,Phacelia lyallii,Phacelia sericea,Plantago eriopoda,Poa alpina,Polygonum viviparum,Potentilla diversifolia,Saxifraga occidentalis,Sedum lanceolatum,Sedum roseum,Senecio canus,Silene douglasii,Tiarella trifoliata,Tofieldia accidentalis,UNKNOWN1,UNKNOWN2,UNKNOWN3,UNKNOWN4,UNKNOWN5,UNKNOWN6,dataset code
"Two Medicine Glacier","Sibbaldia",14,"open",64,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",16,"open",41,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",18,"open",42,33,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",20,"open",38,23,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",22,"open",14,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",24,"open",94,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",26,"open",60,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",27,"open",58,53,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",28,"open",30,13,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",29,"open",40,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,65
"Two Medicine Glacier","Sibbaldia",30,"open",10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",31,"open",46,56,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",32,"open",77,83,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,65
"Two Medicine Glacier","Sibbaldia",34,"open",24,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",36,"open",38,50,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",38,"open",36,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",40,"open",37,31,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",42,"open",44,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",44,"open",62,60,,,,,,,,,,,,,,,5,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",46,"open",50,29,,,,,,,,,,,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",47,"open",58,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",48,"open",39,18,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",49,"open",44,34,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",50,"open",38,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",51,"open",82,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",52,"open",34,24,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",54,"open",58,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",56,"open",54,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",58,"open",66,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",60,"open",37,36,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",62,"open",18,21,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",64,"open",42,30,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",66,"open",75,79,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",67,"open",60,40,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",68,"open",35,32,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,65
"Two Medicine Glacier","Sibbaldia",69,"open",67,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",70,"open",40,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",71,"open",33,43,,,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",72,"open",31,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",74,"open",84,67,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,65
"Two Medicine Glacier","Sibbaldia",76,"open",38,71,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",78,"open",45,35,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",80,"open",31,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",82,"open",40,36,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",84,"open",26,52,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",85,"open",57,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",86,"open",47,30,,,,,,,,,,,10,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",87,"open",40,36,,,,,,,,,,8,,,,,6,,,,,,,,,,,1,,,,,1,,,2,,,,1,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",88,"open",93,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",89,"open",45,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",90,"open",94,60,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",91,"open",36,66,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",93,"open",38,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",95,"open",76,61,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",97,"open",41,41,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,3,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",99,"open",56,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",101,"open",41,38,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,,,65
"Two Medicine Glacier","Sibbaldia",103,"open",64,38,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,1,,,,65
"Two Medicine Glacier","Sibbaldia",104,"open",71,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Two Medicine Glacier","Sibbaldia",14,"cushion",64,46,,,,,,,,1,2,11,,,,,,,,,,,,,,,,,,,,,,4,,,1,,,,,,,,,2,,,,65
"Two Medicine Glacier","Sibbaldia",4,"cushion",81,101,,,,,,,,,5,,,,,,13,,,,,,,,,,,,,,,,11,,,,,,,,,4,7,,,,,,,65
"Two Medicine Glacier","Sibbaldia",60,"cushion",152,74,23,4,,,,,,,8,,,,,,16,,9,,,,,,,,,1,,,,,,5,,,,,,8,,,,,,26,,,16,65
"Two Medicine Glacier","Sibbaldia",53,"cushion",76,61,,2,,,,,,,13,,,,,,,,4,,,,,,,,,,1,,,,,7,,3,,,,8,,,,,,4,,,,65
