Site,Cushion species,Sample,cushion/open,Flower no,Flower gender,Diam 1 (cm),Diam 2 (cm),Notes,Anenome occidentalis (Tiny anenome),Antennaria alpina var media (White gentian),Arctostaphylos uva-ursi (Bearberry),Big Anenome,Bistorta vivipara,Cetraria cuculata (Leafy lichen),Draba oligosperma (ylw flowered cushion),Dryas octopetala,Erigeron spp (Red long),Grass,Green Lobe,Lupinus arcticus,Masonhalea richardsonii (Branch lichen),Moss,Myosotis alpestris (Forget me not),Pedicularis spp (lousewort),Polemonium pulcherrimum,Potentilla spp,Red Long,Rock Lichen,Salix cascadensis (Salix 2),Salix spp,Saxifraga bronchialis (Red saxifrage),Saxifraga nivalis (Dandel),Saxifraga serpyllifolia (Yellow flower),Sedum spp (stonecrop),Small gentian,White weed?,dataset code
"Red Mountain","Silene acaulis",22,"open",,"",,,"",,,,,,,,,,10,,,1,,,,3,,2,,,,,,,,,,69
"Red Mountain","Silene acaulis",23,"open",,"",,,"",,,,,,,,,,3,,,1,,,,,,,1,,,,,,,1,,69
"Red Mountain","Silene acaulis",24,"cushion",2,"h",25,13,"",,,,,,,,,,5,,,1,,,,,4,,,9,,,,,,,,69
"Red Mountain","Silene acaulis",25,"cushion",1,"h",15.5,7.5,"",,,,,,,,,,11,,,1,,,,,1,,,,1,,,,1,,,69
"Red Mountain","Silene acaulis",31,"cushion",4,"h",17,14,"",,,,,,,,,,10,,,2,,1,,1,5,,,,1,,,,3,,,69
"Red Mountain","Silene acaulis",31,"open",,"",,,"",,,,,,,,,,4,,,,,,,,,,3,,,,,,,,,69
"Red Mountain","Silene acaulis",32,"open",,"",,,"",,,,,,,,,,,,,,,,,,,,3,,,,,,,,,69
"Red Mountain","Silene acaulis",33,"cushion",,"",14,12,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,69
"Red Mountain","Silene acaulis",41,"cushion",,"",17.5,15,"",,,,,,,,,,8,,,1,,,,,1,,,1,,,,,,,,69
"Red Mountain","Silene acaulis",42,"cushion",1,"h",11.5,8,"",2,,,,,,,,,3,,,,,,,,2,,,,,,,,,,,69
"Red Mountain","Silene acaulis",43,"cushion",1,"h",43,28,"",,4,,,,,,,,54,,,4,,2,,5,5,,,,6,,3,,3,,,69
"Red Mountain","Silene acaulis",43,"open",,"",,,"",1,11,,,,,,,,8,,,2,,,,3,4,,3,1,,,,,,,,69
"Red Mountain","Silene acaulis",44,"open",,"",,,"",,,,,,,,,,5,,,,,,,,,,2,,,,,,,,,69
"Red Mountain","Silene acaulis",45,"open",,"",,,"",2,,,,,,,,,2,,,,,,,,,,2,,,,,,,,,69
"Red Mountain","Silene acaulis",46,"cushion",,"",15,5,"",,,,,,,,,,3,,,,,,,,,,,,,,,,,5,,69
"Red Mountain","Silene acaulis",47,"cushion",,"",13.5,12,"",,3,,,,,,,,4,,,,,1,,,,,,,,,,,,,,69
"Red Mountain","Silene acaulis",47,"open",,"",,,"",1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,69
"Red Mountain","Silene acaulis",48,"open",,"",,,"",,,,,,,,,,,,,,,,,,,,2,,,,,,,,,69
"Red Mountain","Silene acaulis",49,"open",,"",,,"",,,,,,,,,,3,,,1,,,,,,,3,,,,,,,,,69
"Red Mountain","Silene acaulis",50,"cushion",32,"f",28,21.5,"",,1,,,,,,,,13,,,1,,,,11,,,,4,,,,,,1,,69
"Red Mountain","Silene acaulis",51,"cushion",31,"f",35,20,"",1,,,,,,,,,27,,,2,,2,,1,,,,8,,,,,,,,69
