"site","cushion","code","sample","cushion.open","diam1","diam2","area","Acaena macrocephala","Acaena pinnatifida","Anemone multifida","Armeria maritima","Azorella monantha","Berberis empetrifolia","Calandrinia gayana","Carex aphylla","Carex caduca var ortegae","Cerastium arvense","Chuquiraga avellanae","Discaria nana","Drava gilliesii","Erigeron sp","Gamocarpa selliana","Gaultheria pumila","Geranium sessiliflorum","Hordeum comosum","Hypochaeris tenuifolia var eurylepis","Leucheria millefolium","Luzula chilensis","Montiopsis gayana","Mulinum leptacanthum","Nastanthus caespitosum","Oreopolus glacialis","Plantago barbata subsp barbata","Polygala salasiana","Senecio pachyphyllos","Senecio portalesianus","Sisysrinchium patagonicum","Trisetum barbinode","Tristagma nivale","Viola cotyledon"
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,8,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,21,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,22,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,23,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,36,"open",,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,37,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,38,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,51,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,52,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,53,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,66,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,67,"open",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,68,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,81,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,82,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,83,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,96,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,97,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,98,"open",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,99,"open",,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,1,2
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,100,"open",,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,5
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,2,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,3,"cushion",,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,4,"cushion",,,,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,5,"cushion",,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,6,"cushion",,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,7,"cushion",,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,
"Bariloche Oreopolus glacialis","Oreopolus glacialis",18,8,"cushion",,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,
