dataset code,site,cushion sp,sample,cushion/open,diam1 (cm),diam2 (cm),Carex nardina,Arnica,Solidago,Festuca,Phlox,Sibbaldia,Antennaria alpina,Carex Sp,Luzula,Koeleria,Poa alpina,Draba,Saxifraga bronchialis,Agrostis,Taraxacum,Potentilla heptaphylla,Phyllodoce glandulosa,Luzula glabra,Festuca green,Potentilla villosa,Caryophyllaceae,Erigeron,Antennaria long leaf,Luzul green,Phacelia
76,"Whistler South","Silene_acaulis",12,"open",35,14,,,,6,,1,,2,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",13,"cushion",11,7,1,1,,2,,2,,,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",13,"open",11,7,,1,1,2,,4,,,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",14,"cushion",12,10,,4,,1,,,1,,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",14,"open",12,10,,2,,1,,2,5,,2,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",15,"cushion",17,14,,6,,3,2,3,,,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",15,"open",17,14,,8,,,,,,,3,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",16,"cushion",9,6,,6,3,,,,,3,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",16,"open",9,6,,4,,,,,,4,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",17,"cushion",12,11,,3,,3,,,,,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",17,"open",12,11,,6,,,,,,,2,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",18,"cushion",15,12,,5,,4,,1,2,,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",18,"open",15,12,2,6,,,,,,,4,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",19,"cushion",11,8,,4,,1,,3,,,,1,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",19,"open",11,8,,5,,,,1,,,1,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",20,"cushion",15,9,,8,,2,,,,,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",20,"open",15,9,,3,,3,,,,,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",21,"cushion",14,13,,2,1,3,,,,,,,,,,,1,,,,,,,,,,
76,"Whistler South","Silene_acaulis",21,"open",14,13,,3,,,,1,,,,2,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",22,"cushion",25,12,,,8,,,1,1,,,2,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",22,"open",25,12,,,4,,,2,6,,1,,,,,,,1,,,,,,,,,
76,"Whistler South","Silene_acaulis",23,"cushion",20,16,3,2,,2,,,2,,1,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",23,"open",20,16,,1,,,,6,5,3,1,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",24,"cushion",19,17,,,20,1,,,2,1,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",24,"open",19,17,4,7,,1,,4,5,,1,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",25,"cushion",18,16,,4,25,5,,,2,,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",25,"open",18,16,,6,3,3,,,3,,1,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",26,"cushion",11,11,,4,2,2,,,,,,,,,,,,,,,,,,,,,
76,"Whistler South","Silene_acaulis",26,"open",11,11,,5,2,,,,1,,2,,,,,,,,,,,,,,,,
