site,cushion species,sample,cushion/open,diam1 (cm),diam2 (cm),Arenaria,Astralagus purshii var lectulus,Carex,Caryo,Cholerea,Cryptantha nubigena,Draba oligosperma,Erigeron,Erigonum,Leontodon,Linum,Phlox,Poa,Potentilla morefieldii,Saxifrag,dataset code
"White Mtns Townsendia leptotes","Townsendia leptotes",61,"open",20,20,,1,,,,,,,,,,1,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",62,"cushion",9,7,1,,,,,,,,,,,,,4,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",71,"cushion",16,13,,,,,5,,5,,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",71,"open",16,13,,,,,,,,,,3,,,,1,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",72,"cushion",23,15,,1,,,,1,,,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",81,"cushion",20,14,,1,,,,1,,,,,,2,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",81,"open",20,14,,,,,,1,,,,,,4,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",82,"cushion",17,13,,,,,,1,1,,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",91,"cushion",14,19,,,,,,,,,,,,,,1,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",91,"open",14,19,,,,,,,,,,,,1,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",92,"cushion",25,14,,1,,,,,,,,,,4,,1,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",2,"open",35,38,,,,2,,,1,1,,,,2,5,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",3,"cushion",35,27,,,,,,1,1,,,,,,3,3,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",3,"open",35,27,,,1,,,,,,,,,,3,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",4,"cushion",17,112,,,,,,,,,,,,,1,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",5,"cushion",36,27,,,2,,3,1,,,,,,2,4,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",5,"open",36,27,,,3,,,1,,,,,,2,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",6,"open",47,40,,,3,,6,,,,,,,5,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",7,"cushion",14,16,,,,,,,1,,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",7,"open",14,16,,,,,,,,,,,,1,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",8,"cushion",32,17,,,2,,,1,,,,,,3,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",8,"open",32,17,,,,,,1,1,,,,,2,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",9,"cushion",27,30,,,,,4,1,,,,,,2,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",9,"open",27,30,,,,,,,,,,,,3,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",10,"cushion",16,16,,,,,2,,,1,,,,2,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",10,"open",16,16,,,,,,1,,,,,,2,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",12,"open",19,14,,,1,,,,,,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",13,"cushion",13,11,,,,,2,3,1,,,,,,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",13,"open",13,11,,,,,,,1,,,,,1,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",14,"open",27,22,,,,,3,1,,,,,,3,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",15,"cushion",44,32,,,,,17,2,1,,,,,3,,1,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",15,"open",44,32,,,,,3,3,1,,,,,4,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",16,"cushion",13,12,,,,,3,2,,,,1,,3,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",16,"open",13,12,,,,,3,1,,,,,,3,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",17,"cushion",27,23,,,,,4,5,,,,,,3,,,,63
"White Mtns Townsendia leptotes","Townsendia leptotes",17,"open",27,23,,,,,,3,,1,,,,,,,,63
