Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Biscutella glacialis,Chaenorhinum glareosum,Erigeron frigidus,Eryngium glaciale,Euphrasia willkommii,Festuca clementei,Galium pyrenaicum,Herniaria boissieri ssp boissieri,Hormathophylla spinosa,Jasione amethystina,Leontodon boryi,Nevadensia purpurea,Trisetum glaciale
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",63,"open",13,14,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",64,"cushion",16,13,,,,,,,7,,,1,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",64,"open",16,13,,,,,,,,,,2,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",65,"cushion",15,10,,,,,,,,,,1,,4,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",65,"open",15,10,,,,,,,,,,,,2,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",66,"cushion",16,14,,,,,,,,,,5,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",66,"open",16,14,,,,,,,,,,1,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",67,"cushion",22,15,,,,,,,,,,1,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",67,"open",22,15,,,,,,,,1,,1,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",68,"cushion",28,26,1,,,,,,,,,2,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",68,"open",28,26,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",69,"cushion",15,15,3,,,,,,,1,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",69,"open",15,15,2,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",70,"cushion",21,17,,1,,,,,14,,,2,,,6
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",70,"open",21,17,,,,,,,,2,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",71,"cushion",16,9,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",71,"open",16,9,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",72,"cushion",11,10,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",72,"open",11,10,,,,,,,,,,,,,
80,"Sierra Nevada4","Arenaria_tetraquetra_amabilis",73,"cushion",13,10,,,,,,,,,,,,,
