"site","cushion","code","sample","cushion.open","diam1","diam2","area","Adesmia sp 1","Adesmia sp 2","Barneoudia major","Bromus setifoluis","Calandrinia affinis","Cerastium arvense","Chaetanthera euphrasioides","Chaetanthera lycopodioides","Erigeron andicola","Galium gilliesii","Hordeum comosum","Junellia uniflora","Montiopsis potentilloides","Nassauvia lagascae","Nassauvia pyramidalis","Nastanthus agglomeratus","Olsynium scirpoideum","Oxalis compacta","Perezia carthamoides","Phacelia secunda","Pozoa coriacea","Rytidosperma pictum","Senecio looseri","Taraxacum officinale","Thlaspi magellanicum","Trisetum preslei","Viola atropurpurea","Viola philippii"
"Franciscano","Azorella madreporica",11,86,"cushion",,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,
"Franciscano","Azorella madreporica",11,87,"cushion",,,,,,,,,,,,1,,8,,,,,3,,,,,,,,4,11,4,,
"Franciscano","Azorella madreporica",11,88,"cushion",,,,,,,,,36,,,,,6,,,,,4,,,,,,,,2,25,13,,
"Franciscano","Azorella madreporica",11,89,"cushion",,,,,,1,,,54,,,,,5,,,,,1,,,,,,,,,16,4,,
"Franciscano","Azorella madreporica",11,90,"cushion",,,,,,,,,94,,,,,1,,,,,1,,,,,,,,,4,,,
"Franciscano","Azorella madreporica",11,93,"cushion",,,,,,2,,,213,,,,,9,,,,,4,,,,,,,,1,29,3,,
"Franciscano","Azorella madreporica",11,94,"cushion",,,,,,3,,,265,,,,,18,,,,,26,,,,,,,4,12,41,21,,
"Franciscano","Azorella madreporica",11,95,"cushion",,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,,
"Franciscano","Azorella madreporica",11,96,"cushion",,,,,,,,,,,,1,,,,,,,1,,,,,,,,,8,,,
"Franciscano","Azorella madreporica",11,97,"cushion",,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
"Franciscano","Azorella madreporica",11,98,"cushion",,,,,,,,,,,,1,,,,,,,12,,,,,,,,,4,8,,
"Franciscano","Azorella madreporica",11,99,"cushion",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
