Site,Cushion species,sample,cushion/open,Flower #,Flower gender,x-axis (cm),y-axis (cm),Antennaria alpina,Bistorta vivipara,Buttercup,Carex spp,Cetraria cuculata,Draba oligosperma (ylw flower cushion),Dryas octopetala,Grass spp,Lichen,Moss,Peltigera spp,Phyllodoce spp (Heather),Polemonium spp,Potentilla spp (Cinquefoil),Red gentian?,Rock lichen,Salix cascadensis (Salix 2),Salix spp,Saxifraga nelsoniana (Lobe leaf),Saxifraga nivalis (Dandel),Saxifraga oppositifolia,Silene acaulis,Small gen,Notes,dataset code
"Cathedral Lake 2","Saxifraga oppositifolia",30,"cushion",35,"",33,27,,,,3,,,,7,,1,,4,,1,,,,40,,,,,4,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",31,"open",,"",,,,,,,,,,2,,,,,,,,1,,8,,,,,,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",32,"cushion",27,"",25,12.5,,,,,,,,8,,,,,,,,,,35,,,,2,,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",32,"open",,"",,,,,,,,,,,,,,,,,,,,,,,,,,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",33,"cushion",40,"",21.5,13,2,,,,,,,8,,,,3,,,,,,18,,,,,,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",33,"open",,"",,,,,,,,,,1,,,,,,,,,,,,,,,,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",34,"cushion",24,"",32,21,,,,3,,,,9,,1,,2,,,,,,,,,,,,"fly",99
"Cathedral Lake 2","Saxifraga oppositifolia",34,"open",,"",,,,,,,1,,,6,,1,,,,,,1,,,,,,,,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",35,"cushion",10,"",24,19.5,,,,,,,,3,,,,10,,,,,,27,,,,,,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",35,"open",,"",,,,,,,,,,,,,,,,,,1,,,,,,,,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",36,"cushion",17,"",20,18,,2,,,,1,,17,,1,,,,,,,,4,,2,,,,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",36,"open",,"",,,,,,,,,,,,,,,,,,,,,,,,,,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",37,"cushion",32,"",22,20,,1,,,,,,4,,1,,3,,,,,,,,,,,,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",37,"open",,"",,,,,,,,,,5,,,,,,,,1,,,,,,,,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",38,"cushion",45,"",23,18,1,,,,1,,,10,,,,1,,,,,,22,,,,,,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",38,"open",,"",,,1,,,,1,,,8,,1,,,,,,,,11,,,,,,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",39,"cushion",15,"",40,31,,4,,,,,,14,,1,,,,1,1,,,23,,,,,,"",99
"Cathedral Lake 2","Saxifraga oppositifolia",39,"open",,"",,,,8,,,,,,21,,1,,,6,2,,,,14,,,,,2,"",99
