Dataset code,site name,cushion species,sample,cushion/open,diam 1 (cm),diam 2 (cm),Agrostis borealis,Agrostis scabra,Androsace chamaejasme,Antenaria alpina,Astragalus kentrophyta implexus,Carex podocarpa,Cerastrium nutans,Chrysosplenium tetrandum,Cirsium tweedyi,Claytonia megarhiza,Deschampsia caespitosa,Draba longipes,Erigeron aureus,Festuca brachyphylla,Hedysarum alpinum,Oxyria dignya,Phleum commutatum,Poa alpina,Polemonium viscosum,Polygonum viviparum,Salix arctica,Salix reticulata,Saussarea weberi,Saxifraga lyallii,Saxifraga oppositifolia,Sedum roseum,Senecio canus,Senecio fremontii,Smelowskia calycia,Stellaria borealis,Taraxacum officinale,UKN fuzzy  purple
97,"Ptarmigan Cirque","Silene acaulis",8,"open",31,38,,1,,,,,,,,,,,,7,,,,,,5,17,,,,1,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",9,"cushion",23,16,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,6,,,
97,"Ptarmigan Cirque","Silene acaulis",9,"open",23,16,,4,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,
97,"Ptarmigan Cirque","Silene acaulis",10,"cushion",30,30,,4,,,,5,,,,,3,,,3,,,,1,,,3,,1,,3,,,,16,,,
97,"Ptarmigan Cirque","Silene acaulis",10,"open",30,30,,11,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,1,
97,"Ptarmigan Cirque","Silene acaulis",11,"cushion",32,27,,9,,,3,,,,,,,,,5,,,,1,,1,4,,,,4,,,,6,,,
97,"Ptarmigan Cirque","Silene acaulis",11,"open",32,27,,,,,,,,,,,,,,1,,,,,,,,,,,,,3,,1,,,
97,"Ptarmigan Cirque","Silene acaulis",12,"cushion",38,22,,,1,,1,,,,,,,,,4,,,,2,,3,14,,,,2,,2,,,,,
97,"Ptarmigan Cirque","Silene acaulis",12,"open",38,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",13,"cushion",34,15,,6,1,,,2,,,,,,,,7,,,,,1,4,,,,,,,,,1,,,
97,"Ptarmigan Cirque","Silene acaulis",13,"open",34,15,,,,,,,,,,,,,,9,,,,2,,,,,,,,4,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",14,"cushion",27,36,,5,,,5,,,,,,,,,2,,,,,,4,3,,,,,,,,11,,,
97,"Ptarmigan Cirque","Silene acaulis",14,"open",27,36,,,,,,,,,,,,,,2,,,,,,,28,,,,,,,,11,,,
97,"Ptarmigan Cirque","Silene acaulis",15,"cushion",27,27,,23,,,5,11,2,,,,,,2,,,,,14,,,26,,1,,,,7,,3,,,
97,"Ptarmigan Cirque","Silene acaulis",15,"open",27,27,,1,,,,,,,,,,,,,,1,,,,,28,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",16,"cushion",24,15,,,,,2,,,,,,,,,2,,,,,,,14,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",16,"open",24,15,,,2,,,,,,,,,,,1,,,,,,,30,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",17,"cushion",22,20,,,,,,8,,,,,,,,7,,,,,,15,70,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",17,"open",22,20,,,,,,,,,,,,,,,,,,,,,25,,,,3,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",18,"cushion",16,12,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",18,"open",16,12,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,
97,"Ptarmigan Cirque","Silene acaulis",19,"cushion",17,15,,,5,,,,,,,,,,,6,,,,,1,,,,1,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",19,"open",17,15,,,,,,1,,,,,,,,4,,,,,2,,,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",20,"cushion",15,17,10,,,,,,,,,,,,1,,,,,,1,,,,,2,,,,,2,,,
97,"Ptarmigan Cirque","Silene acaulis",20,"open",15,17,6,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,"Ptarmigan Cirque","Silene acaulis",21,"cushion",49,42,,16,,,,,,,,,,,,8,,,,14,,14,,,1,,,5,,,15,,,
